3,952,SG,SGP,Singapore,26578,sensor-pad-26578Bhn2oyxZ,39,203.127.169.81,1.29,green,103.86,Celsius,32,1458444056244
2,1153,US,USA,United States,26579,meter-gauge-265794mh2OMr,62,65.114.225.1,38.0,yellow,-97.0,Celsius,24,1458444056244
6,1396,US,USA,United States,26580,sensor-pad-265803gVPt,99,64.245.1.1,37.39,yellow,-122.02,Celsius,29,1458444056244
9,1264,NL,NLD,Netherlands,26581,meter-gauge-26581JlMhy5URui,36,84.245.5.1,52.37,yellow,4.9,Celsius,13,1458444056244
2,864,CA,CAN,Canada,26582,sensor-pad-26582ZT74K,66,142.161.195.189,43.64,green,-79.39,Celsius,11,1458444056244
9,1001,GB,GBR,United Kingdom,26583,device-mac-26583TAIGGpn,40,217.163.44.137,51.5,yellow,-0.13,Celsius,10,1458444056245
1,1413,BG,BGR,Bulgaria,26584,sensor-pad-26584VPQysG9,63,87.126.153.1,42.7,red,23.33,Celsius,25,1458444056245
6,844,CN,CHN,China,26585,therm-stick-26585bTFaj,89,222.126.180.1,22.53,green,114.13,Celsius,14,1458444056245
5,1569,JP,JPN,Japan,26586,sensor-pad-26586FQSfXw,83,222.227.32.226,35.69,red,139.69,Celsius,12,1458444056245
6,1121,DE,DEU,Germany,26587,meter-gauge-26587QyO6nvNW,60,80.81.30.17,48.37,yellow,10.9,Celsius,32,1458444056245
6,1112,SE,SWE,Sweden,26588,sensor-pad-26588owfFl,60,77.72.228.14,59.33,yellow,18.07,Celsius,14,1458444056245
6,819,CA,CAN,Canada,26589,device-mac-26589PIFidX9A,48,24.138.64.1,44.63,green,-63.58,Celsius,28,1458444056245
3,1200,JP,JPN,Japan,26590,sensor-pad-26590gvfypf,33,59.138.71.1,35.69,yellow,139.69,Celsius,29,1458444056245
8,1395,US,USA,United States,26591,meter-gauge-26591sW5cGtt86,36,69.138.73.1,39.19,yellow,-77.32,Celsius,23,1458444056245
6,878,US,USA,United States,26592,sensor-pad-26592NE8g0hR,95,66.162.21.57,27.88,green,-82.75,Celsius,21,1458444056245
4,916,ES,ESP,Spain,26593,meter-gauge-2659323my82,79,62.97.65.94,40.4,green,-3.68,Celsius,31,1458444056245
5,1208,KR,KOR,Republic of Korea,26594,sensor-pad-26594guMx8Aw40z,69,220.73.148.38,37.57,yellow,126.98,Celsius,17,1458444056245
2,1591,CN,CHN,China,26595,device-mac-26595iQEDlKi0y,49,61.148.161.53,39.93,red,116.39,Celsius,22,1458444056245
3,868,CN,CHN,China,26596,sensor-pad-26596MVwAYbk7c,76,220.177.199.110,28.55,green,115.93,Celsius,11,1458444056245
4,954,US,USA,United States,26597,meter-gauge-26597OYAe4yVfvK,63,64.80.33.193,43.07,green,-76.15,Celsius,13,1458444056245
7,1055,RU,RUS,Russia,26598,sensor-pad-26598uTa9QXePT,37,80.240.241.225,55.75,yellow,37.62,Celsius,33,1458444056245
7,1030,GB,GBR,United Kingdom,26599,meter-gauge-26599Zz9kWGj,47,217.19.250.1,51.5,yellow,-0.13,Celsius,14,1458444056245
0,1494,KR,KOR,Republic of Korea,26600,sensor-pad-26600QBem9NKPBw,63,221.150.27.1,37.57,red,126.98,Celsius,14,1458444056245
8,1147,US,USA,United States,26601,device-mac-26601rkMDVq2,33,216.150.26.1,33.75,yellow,-84.39,Celsius,16,1458444056245
3,983,FR,FRA,France,26602,sensor-pad-26602mycKegcF,34,83.136.165.203,48.9,green,2.31,Celsius,25,1458444056245
0,1327,KR,KOR,Republic of Korea,26603,meter-gauge-26603EbGDv,70,121.150.7.1,37.57,yellow,126.98,Celsius,20,1458444056245
4,1036,PG,PNG,Papua New Guinea,26604,sensor-pad-26604X2JBSk,48,202.165.196.4,-6.0,yellow,147.0,Celsius,23,1458444056245
4,971,US,USA,United States,26605,therm-stick-26605LYcdLqCFb5,94,209.68.37.137,40.45,green,-79.93,Celsius,19,1458444056245
3,1176,RO,ROU,Romania,26606,sensor-pad-26606tPTMB5Zbl,44,193.19.194.101,46.0,yellow,25.0,Celsius,28,1458444056245
4,1470,US,USA,United States,26607,device-mac-26607sXdY14o,42,69.31.144.1,30.07,red,-90.58,Celsius,27,1458444056246
8,874,GB,GBR,United Kingdom,26608,sensor-pad-26608fBYPda,82,213.206.128.61,51.5,green,-0.13,Celsius,27,1458444056246
9,991,CZ,CZE,Czech Republic,26609,meter-gauge-26609Dy8E0e,45,88.83.160.190,50.08,green,14.42,Celsius,26,1458444056246
